FID,ogc_fid,state,hospname,establishment_id,parent_id,unit,medicare_prov_number,address_line_1,address_line_2,remoteness_area_code,remoteness_area,number_of_available_beds,_2012_13_peer_group_code,_2012_13_peer_group_name,admissions_reported,emergency_department,elective_surgery_reported,outpatient_clinics,_2011_12_peer_group_code,_2011_12_peer_group_name,longitude,latitude,geocode_quality,geocode_type,wkb_geometry
aihw_hospital_statistics_2012_2013.18,18,NSW,Junee (MPS),1184R2090,,Hospital,0011510X,67 Broadway ST,Junee 2663,1,Inner Regional,34,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,151.0584,-33.926,ROOFTOP,establishment,POINT (-33.9260439 151.05835390000001)
aihw_hospital_statistics_2012_2013.19,19,NSW,Cobar,1185K2030,,Hospital,0010950B,1 Lerida RD,Cobar 2835,3,Remote,10.5,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,149.2726,-34.7833,ROOFTOP,premise,POINT (-34.7832517 149.2725959)
aihw_hospital_statistics_2012_2013.20,20,NSW,Dubbo,1185K2110,,Hospital,0011170A,1 Myall ST,Dubbo 2830,1,Inner Regional,159.3,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,148.6366,-32.2429,ROOFTOP,establishment,POINT (-32.242896 148.636583)
aihw_hospital_statistics_2012_2013.21,21,NSW,Bathurst,1185L2010,,Hospital,0010650T,361 Howick ST,Bathurst 2795,1,Inner Regional,115.4,L,Large public acute,Yes,Yes,Yes,Yes,B2,Large regional and remote,149.582,-33.4184,ROOFTOP,establishment,POINT (-33.41836599999999 149.582022)
aihw_hospital_statistics_2012_2013.22,22,NSW,Eugowra (MPS),1185L2080,,Hospital,0011200K,1 Cooper ST,Eugowra 2806,2,Outer Regional,12.2,VS,Very small public,Yes,No,No,No,G,Un-peered and other,151.2406,-33.8771,ROOFTOP,doctor,POINT (-33.8770538 151.24063079999996)
aihw_hospital_statistics_2012_2013.23,23,NSW,Tibooburra,1186S2030,,Hospital,0012120B,1 Sturt ST,Tibooburra 2880,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,147.3711,-35.1136,ROOFTOP,establishment,POINT (-35.1135685 147.3711292)
aihw_hospital_statistics_2012_2013.24,24,NSW,Macquarie,1476B1010,,Hospital,,1 Wicks RD,North Ryde 2113,0,Major Cities,193.9,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,151.1333,-33.7891,ROOFTOP,establishment,POINT (-33.7890774 151.13326879999997)
aihw_hospital_statistics_2012_2013.25,25,NSW,Morisset,1480Q1010,,Hospital,,143 Dora ST,Morisset 2264,0,Major Cities,129.6,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,151.4798,-33.1118,ROOFTOP,establishment,POINT (-33.11180739999999 151.4798087)
aihw_hospital_statistics_2012_2013.26,26,QLD,MILES HOSPITAL,310000097,,Hospital,,26 Colamba Street,Miles 4415,2,Outer Regional,13,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,153.0625,-26.7221,ROOFTOP,premise,POINT (-26.7221228 153.0625424)
aihw_hospital_statistics_2012_2013.27,27,QLD,INJUNE HOSPITAL,310000115,,Hospital,,Fifth Avenue,Injune 4454,4,Very remote,6,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,148.563,-25.8471,ROOFTOP,establishment,POINT (-25.8471264 148.5629924)
aihw_hospital_statistics_2012_2013.28,28,QLD,YARAKA CLINIC,310000161,,Hospital,,Jarley Street,Yaraka 4702,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,144.0777,-24.8834,ROOFTOP,establishment,POINT (-24.8834428 144.0776796)
aihw_hospital_statistics_2012_2013.29,29,SA,Cummins and District Memorial Hospital,41EY00094,,Hospital,,19-21 Tumby Bay RD,Cummins 5631,3,Remote,19,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,135.7325,-34.2637,ROOFTOP,subpremise,POINT (-34.263675 135.7324839)
aihw_hospital_statistics_2012_2013.30,30,SA,Modbury Hospital,41NA00030,,Hospital,,41-69 Smart RD,Modbury 5092,0,Major Cities,166,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,138.6891,-34.8343,ROOFTOP,establishment,POINT (-34.8343392 138.6890523)
aihw_hospital_statistics_2012_2013.31,31,QLD,ROBINA HOSPITAL,310000934,,Hospital,,313 Moun-Ding Street,Napranum 4874,0,Major Cities,454,M,Medium public acute,Yes,Yes,Yes,No,A1,Principal referral,141.8901,-12.685,ROOFTOP,street_address,POINT (-12.684965 141.890075)
aihw_hospital_statistics_2012_2013.32,32,SA,Elliston Hospital,41EY00097,,Hospital,,4-6 Memorial DR,Elliston 5670,4,Very remote,6,VS,Very small public,Yes,No,No,No,G,Un-peered and other,134.8926,-33.6479,GEOMETRIC_CENTER,establishment,POINT (-33.6478931 134.8926271)
aihw_hospital_statistics_2012_2013.33,33,ACT,Canberra Hospital & Health Services,810000082,,Hospital,0090030B,Yamba Dr,Garran 2605,0,Major Cities,741,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,149.1012,-35.3459,GEOMETRIC_CENTER,establishment,POINT (-35.3459297 149.1011858)
aihw_hospital_statistics_2012_2013.34,34,ACT,Calvary Public Hospital,810000083,,Hospital,0090040A,Haydon DR,Bruce 2617,0,Major Cities,235,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,149.0898,-35.2529,GEOMETRIC_CENTER,establishment,POINT (-35.252948 149.0898052)
aihw_hospital_statistics_2012_2013.35,35,NSW,Sydney Children's,1163C2380,,Hospital,0010260H,1 High ST,Randwick 2031,0,Major Cities,148.5,W3,Childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens,151.2389,-33.917,GEOMETRIC_CENTER,establishment,POINT (-33.9170434 151.2389339)
aihw_hospital_statistics_2012_2013.36,36,NSW,Tresillian Care Centres,1170A2340,,Hospital,0010350F,571 Canterbury RD,Campsie 2194,0,Major Cities,33.2,O1,Early parenting centres,Yes,No,No,No,E5,Mothercraft,151.0976,-33.9186,GEOMETRIC_CENTER,establishment,POINT (-33.9186358 151.0975559)
aihw_hospital_statistics_2012_2013.37,37,NSW,Gower Wilson (MPS),1172C2050,,Hospital,,1 Lagoon RD,Lord Howe Island 2898,4,Very remote,0.1,VS,Very small public,Yes,No,No,No,E9,Other non-acute,159.0666,-31.5279,GEOMETRIC_CENTER,establishment,POINT (-31.527927999999996 159.066631)
aihw_hospital_statistics_2012_2013.38,38,NSW,Prince of Wales,1172C2080,,Hospital,0010260H,147 Barker ST,Randwick 2031,0,Major Cities,512.7,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,151.2391,-33.9181,GEOMETRIC_CENTER,establishment,POINT (-33.9180831 151.2391449)
aihw_hospital_statistics_2012_2013.39,39,NSW,Royal For Women,1172C2200,,Hospital,0010070L,Barker ST,Randwick 2031,0,Major Cities,122.2,W1,Womens,Yes,No,Yes,Yes,A2,Specialist womens and childrens,151.2383,-33.9189,GEOMETRIC_CENTER,establishment,POINT (-33.9188771 151.2382611)
aihw_hospital_statistics_2012_2013.40,40,NSW,David Berry,1173P2910,,Hospital,0011130J,85 Tannery RD,Berry 2535,1,Inner Regional,26,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,E9,Other non-acute,150.7063,-34.7759,GEOMETRIC_CENTER,establishment,POINT (-34.775863099999995 150.7062628)
aihw_hospital_statistics_2012_2013.41,41,NSW,Nepean,1175D2100,,Hospital,0011860X,256 Derby ST,Kingswood 2747,0,Major Cities,522,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,150.7129,-33.7597,GEOMETRIC_CENTER,establishment,POINT (-33.7597319 150.7128927)
aihw_hospital_statistics_2012_2013.42,42,NSW,Wentworth Psychiatric Services,1175D2320,,Hospital,,Nepean Hospital,Penrith 2750,0,Major Cities,11,O5,Unpeered,No,No,No,No,G,Un-peered and other,150.7129,-33.7597,GEOMETRIC_CENTER,establishment,POINT (-33.7597319 150.7128927)
aihw_hospital_statistics_2012_2013.43,43,NSW,Hornsby and Ku-Ring-Gai,1176B2100,,Hospital,0010140T,36-76 Palmerston RD,Hornsby 2077,0,Major Cities,252.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,151.1119,-33.7034,GEOMETRIC_CENTER,establishment,POINT (-33.7034017 151.1119404)
aihw_hospital_statistics_2012_2013.44,44,NSW,Royal North Shore,1176B2180,,Hospital,0010310L,1 Reserve RD,St Leonards 2065,0,Major Cities,657.6,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,151.1918,-33.8209,GEOMETRIC_CENTER,establishment,POINT (-33.8208562 151.19183599999997)
aihw_hospital_statistics_2012_2013.45,45,NSW,Ryde,1176B2240,,Hospital,0010390X,1 Denistone RD,Eastwood 2122,0,Major Cities,142.1,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,151.0901,-33.7958,GEOMETRIC_CENTER,establishment,POINT (-33.7957733 151.0900901)
aihw_hospital_statistics_2012_2013.46,46,NSW,Long Jetty,1177B2040,,Hospital,0012680T,Wyong Road,Long Jetty 2261,0,Major Cities,12,N1,Non-acute public-rehabilitation and GEM,Yes,No,No,No,G,Un-peered and other,151.4317,-33.3337,GEOMETRIC_CENTER,route,POINT (-33.33373329999999 151.4317452)
aihw_hospital_statistics_2012_2013.47,47,NSW,Wyong,1177B2060,,Hospital,0012770L,Pacific HWY,Kanwal 2259,0,Major Cities,320.7,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,151.4865,-33.2565,GEOMETRIC_CENTER,route,POINT (-33.2565071 151.48654449999998)
aihw_hospital_statistics_2012_2013.48,48,NSW,Calvary Mater Newcastle,1180Q2110,,Hospital,0011870W,4 Edith ST,Waratah 2298,0,Major Cities,178,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,151.7208,-32.8984,GEOMETRIC_CENTER,establishment,POINT (-32.8984272 151.72079059999996)
aihw_hospital_statistics_2012_2013.49,49,NSW,John Hunter,1180Q2300,,Hospital,0012790J,156 Kookaburra CCT,New Lambton Heights 2305,0,Major Cities,761.3,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,151.6927,-32.9227,GEOMETRIC_CENTER,establishment,POINT (-32.9227041 151.6926959)
aihw_hospital_statistics_2012_2013.50,50,NSW,The Tweed Hospital,1181H2230,,Hospital,0012690L,14 Powell ST,Tweed Heads 2485,0,Major Cities,229.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,153.5454,-28.1771,GEOMETRIC_CENTER,establishment,POINT (-28.1771353 153.5454343)
aihw_hospital_statistics_2012_2013.51,51,NSW,Riverlands Drug and Alcohol Centre,1181H2670,,Hospital,0011590B,Cnr Uralba & Hunter Streets,Lismore 2480,1,Inner Regional,14,O2,Drug and alcohol hospital,Yes,No,No,No,G,Un-peered and other,153.29,-28.8098,GEOMETRIC_CENTER,establishment,POINT (-28.809788 153.290021)
aihw_hospital_statistics_2012_2013.52,52,NSW,Urana (MPS),1184M2130,,Hospital,0011620L,127 Princess ST,Urana 2645,2,Outer Regional,22,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,146.2673,-35.3267,GEOMETRIC_CENTER,establishment,POINT (-35.3266503 146.2672709)
aihw_hospital_statistics_2012_2013.53,53,NSW,Collarenebri (MPS),1185K2040,,Hospital,0010980X,1 Walgett ST,Collarenebri 2833,3,Remote,13,VS,Very small public,Yes,No,No,No,G,Un-peered and other,148.5816,-29.5447,GEOMETRIC_CENTER,establishment,POINT (-29.5446758 148.58159070000002)
aihw_hospital_statistics_2012_2013.54,54,NSW,Warren (MPS),1185K2210,,Hospital,0012310X,176 Doctor Kater DR,Warren 2824,2,Outer Regional,42,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,147.8361,-31.6942,GEOMETRIC_CENTER,establishment,POINT (-31.6941599 147.8361159)
aihw_hospital_statistics_2012_2013.55,55,NSW,Canowindra,1185L2030,,Hospital,0010890Y,1 Browns AV,Canowindra 2804,1,Inner Regional,18.6,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,148.6705,-33.5582,GEOMETRIC_CENTER,establishment,POINT (-33.5582001 148.6704577)
aihw_hospital_statistics_2012_2013.56,56,NSW,Condobolin,1185L2050,,Hospital,0010990W,1 Madline ST,Condobolin 2877,2,Outer Regional,22,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,147.1542,-33.0822,GEOMETRIC_CENTER,establishment,POINT (-33.0822194 147.1541649)
aihw_hospital_statistics_2012_2013.57,57,NSW,Cudal,1185L2070,,Hospital,,Cnr Cargo and Toogong Streets,Cudal 2864,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,148.7441,-33.286,GEOMETRIC_CENTER,intersection,POINT (-33.2860423 148.744061)
aihw_hospital_statistics_2012_2013.58,58,NSW,Menindee Health Service,1186K1010,,Hospital,,Perry ST,Menindee 2879,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,E2,Multi-purpose services,142.4166,-32.3911,GEOMETRIC_CENTER,establishment,POINT (-32.3911427 142.4166102)
aihw_hospital_statistics_2012_2013.59,59,NSW,Thomas Walker,1470A2360,,Hospital,,Hospital RD,Concord Repatriation Hospital 2139,0,Major Cities,16.3,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,151.0927,-33.8374,GEOMETRIC_CENTER,establishment,POINT (-33.8374144 151.0927445)
aihw_hospital_statistics_2012_2013.60,60,NSW,Kenmore,1483N1010,,Hospital,,Taralga RD,Goulburn 2580,1,Inner Regional,54,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,149.7546,-34.7145,GEOMETRIC_CENTER,route,POINT (-34.7145469 149.754558)
aihw_hospital_statistics_2012_2013.61,61,NT,Royal Darwin Hospital,717100071,,Hospital,,Rocklands DV,Tiwi 810,2,Outer Regional,367,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,130.8821,-12.3565,GEOMETRIC_CENTER,establishment,POINT (-12.3565036 130.8820529)
aihw_hospital_statistics_2012_2013.62,62,NT,Katherine Hospital,717100074,,Hospital,,Gorge RD,Katherine 850,3,Remote,60,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,132.272,-14.4391,GEOMETRIC_CENTER,establishment,POINT (-14.439074900000001 132.2720037)
aihw_hospital_statistics_2012_2013.63,63,NT,Gove Hospital,717100075,,Hospital,,Mathew Flinders WAY,Nhulunbuy 880,4,Very remote,34,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,136.7773,-12.1865,GEOMETRIC_CENTER,establishment,POINT (-12.1864846 136.7773472)
aihw_hospital_statistics_2012_2013.64,64,QLD,MATER ADULT HOSPITAL,310000001,,Hospital,,Raymond Terrace,South Brisbane 4101,0,Major Cities,262,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,153.0283,-27.4853,GEOMETRIC_CENTER,establishment,POINT (-27.485346 153.02832)
aihw_hospital_statistics_2012_2013.65,65,QLD,MATER CHILDREN'S HOSPITAL,310000002,,Hospital,,Raymond Terrace,South Brisbane 4101,0,Major Cities,161,W3,Childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens,153.028,-27.4852,GEOMETRIC_CENTER,establishment,POINT (-27.485155199999998 153.0279675)
aihw_hospital_statistics_2012_2013.66,66,QLD,MATER MOTHERS' HOSPITAL,310000003,,Hospital,,Raymond Terrace,South Brisbane 4101,0,Major Cities,128,W1,Womens,Yes,No,Yes,Yes,A2,Specialist womens and childrens,153.0275,-27.4855,GEOMETRIC_CENTER,establishment,POINT (-27.485479199999997 153.0274932)
aihw_hospital_statistics_2012_2013.67,67,QLD,THE PRINCE CHARLES HOSPITAL,310000004,,Hospital,,Rode Road,Chermside 4032,0,Major Cities,624,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,153.0221,-27.3905,GEOMETRIC_CENTER,establishment,POINT (-27.3904803 153.0220522)
aihw_hospital_statistics_2012_2013.68,68,QLD,IPSWICH HOSPITAL,310000015,,Hospital,,Chelmsford Avenue,Ipswich 4305,0,Major Cities,341,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,152.7583,-27.6191,GEOMETRIC_CENTER,establishment,POINT (-27.6190823 152.7582612)
aihw_hospital_statistics_2012_2013.69,69,QLD,REDCLIFFE HOSPITAL,310000016,,Hospital,,Anzac Avenue,Redcliffe 4020,0,Major Cities,352,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,153.1053,-27.2284,GEOMETRIC_CENTER,establishment,POINT (-27.228365 153.105304)
aihw_hospital_statistics_2012_2013.70,70,QLD,ELLEN BARRON FAMILY CENTRE,310000017,,Hospital,,Hamilton Road,Chermside 4032,0,Major Cities,48,O1,Early parenting centres,Yes,No,No,No,E5,Mothercraft,153.0242,-27.3865,GEOMETRIC_CENTER,establishment,POINT (-27.3864592 153.02422)
aihw_hospital_statistics_2012_2013.71,71,QLD,QUEEN ELIZABETH II JUBILEE HOSPITAL,310000022,,Hospital,,Corner of Kessels and Troughton Roads,Coopers Plains 4108,0,Major Cities,165,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,153.0498,-27.5599,GEOMETRIC_CENTER,establishment,POINT (-27.5599462 153.0498212)
aihw_hospital_statistics_2012_2013.72,72,QLD,MARIE ROSE CENTRE,310000025,,Hospital,,Corner of Petrie Street and Oxley Parade,Dunwich 4183,2,Outer Regional,0,VS,Very small public,Yes,No,No,No,G,Un-peered and other,153.3998,-27.4975,GEOMETRIC_CENTER,intersection,POINT (-27.497544999999995 153.399815)
aihw_hospital_statistics_2012_2013.73,73,QLD,REDLAND HOSPITAL,310000028,,Hospital,,Weippin Street,Cleveland 4163,0,Major Cities,151,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,153.2521,-27.5405,GEOMETRIC_CENTER,establishment,POINT (-27.5404541 153.25208919999997)
aihw_hospital_statistics_2012_2013.74,74,QLD,LOGAN HOSPITAL,310000029,,Hospital,,Corner of Armstrong and Loganlea Roads,Meadowbrook 4131,0,Major Cities,332,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,153.1418,-27.67,GEOMETRIC_CENTER,establishment,POINT (-27.6700261 153.14180310000003)
aihw_hospital_statistics_2012_2013.75,75,QLD,BEAUDESERT HOSPITAL,310000041,,Hospital,,64 Tina Street,Beaudesert 4285,1,Inner Regional,22,S2,Other small public acute,Yes,No,Yes,No,D2,Small non-acute,153.0028,-27.9851,GEOMETRIC_CENTER,establishment,POINT (-27.9850968 153.0028336)
aihw_hospital_statistics_2012_2013.76,76,QLD,NAMBOUR HOSPITAL,310000049,,Hospital,,Hospital Road,Nambour 4560,0,Major Cities,441,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,152.9521,-26.6211,GEOMETRIC_CENTER,establishment,POINT (-26.6210583 152.9520572)
aihw_hospital_statistics_2012_2013.77,77,QLD,BUNDABERG HOSPITAL,310000062,,Hospital,,Bourbong Street,Bundaberg 4670,1,Inner Regional,243,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,152.3355,-24.8692,GEOMETRIC_CENTER,establishment,POINT (-24.8691838 152.3355294)
aihw_hospital_statistics_2012_2013.78,78,QLD,CHERBOURG HOSPITAL,310000063,,Hospital,,Fisher Street,Cherbourg 4605,2,Outer Regional,17,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,D1,Small regional acute,151.957,-26.2917,GEOMETRIC_CENTER,establishment,POINT (-26.2916959 151.9570142)
aihw_hospital_statistics_2012_2013.79,79,QLD,HERVEY BAY HOSPITAL,310000069,,Hospital,,Corner of Nissen and Uraween Roads,Pialba 4655,1,Inner Regional,151,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,152.8211,-25.2986,GEOMETRIC_CENTER,establishment,POINT (-25.2986132 152.8210861)
aihw_hospital_statistics_2012_2013.80,80,QLD,MURGON HOSPITAL,310000075,,Hospital,,Coronation Drive,Murgon 4605,2,Outer Regional,15,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,151.9506,-26.2389,GEOMETRIC_CENTER,establishment,POINT (-26.2389211 151.950631)
aihw_hospital_statistics_2012_2013.81,81,QLD,DALBY HOSPITAL,310000092,,Hospital,,Hospital Road,Dalby 4405,1,Inner Regional,46,S1,Small public acute with surgery/obstetrics,Yes,No,No,No,C2,Medium (group 2),151.2785,-27.1667,GEOMETRIC_CENTER,establishment,POINT (-27.1666886 151.2784517)
aihw_hospital_statistics_2012_2013.82,82,QLD,INGLEWOOD HOSPITAL,310000094,,Hospital,,Cunningham Highway,Inglewood 4387,2,Outer Regional,12,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,151.0618,-28.4177,GEOMETRIC_CENTER,establishment,POINT (-28.4177396 151.0618186)
aihw_hospital_statistics_2012_2013.83,83,QLD,TEXAS HOSPITAL,310000103,,Hospital,,Mingoola Road,Texas 4385,2,Outer Regional,10,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,151.1792,-28.8565,GEOMETRIC_CENTER,establishment,POINT (-28.856510300000004 151.1791844)
aihw_hospital_statistics_2012_2013.84,84,QLD,AUGATHELLA HOSPITAL,310000111,,Hospital,,Cavanagh Street,Augathella 4477,4,Very remote,6,VS,Very small public,Yes,No,No,No,G,Un-peered and other,146.5906,-25.7957,GEOMETRIC_CENTER,establishment,POINT (-25.7957225 146.5905515)
aihw_hospital_statistics_2012_2013.85,85,QLD,DIRRANBANDI HOSPITAL,310000114,,Hospital,,Corner of Jane and Cowildi Streets,Dirranbandi 4486,4,Very remote,7,S2,Other small public acute,Yes,No,No,No,E2,Multi-purpose services,148.2289,-28.5788,GEOMETRIC_CENTER,establishment,POINT (-28.5788016 148.228943)
aihw_hospital_statistics_2012_2013.86,86,QLD,MITCHELL HOSPITAL,310000116,,Hospital,,95 Ann Street,Mitchell 4465,4,Very remote,13,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,147.9726,-26.4897,GEOMETRIC_CENTER,establishment,POINT (-26.489669 147.9726297)
